Date,ExchangeRate,CurrencyCode
2023-02-08,7.2841,CNY
2023-02-08,1.9558,BGN
2023-02-08,0.8880,GBP
2023-02-08,7.4421,DKK
2023-02-08,388.7300,HUF
2023-02-08,1.5416,AUD
2023-02-08,5.5644,BRL
2023-02-08,151.5000,ISK
2023-02-09,3.7576,ILS
2023-02-09,88.8905,INR
2023-02-09,0.9890,CHF
2023-02-09,7.4419,DKK
2023-02-09,16279.9500,IDR
2023-02-09,5.6165,BRL
2023-02-09,385.8000,HUF
2023-02-09,8.4551,HKD
2023-02-09,0.8851,GBP
2023-02-09,1.4423,CAD
2023-02-09,1.9558,BGN
2023-02-09,23.6980,CZK
2023-02-09,7.2992,CNY
2023-02-09,1.5409,AUD
2023-02-09,151.1000,ISK
2023-02-10,16233.3300,IDR
2023-02-10,1.5432,AUD
2023-02-10,7.4445,DKK
2023-02-10,3.7820,ILS
2023-02-10,389.7800,HUF
2023-02-10,0.9872,CHF
2023-02-10,1.9558,BGN
2023-02-10,0.8835,GBP
2023-02-10,1.4364,CAD
2023-02-10,7.2837,CNY
2023-02-10,23.6920,CZK
2023-02-10,8.3916,HKD
2023-02-10,88.2475,INR
2023-02-10,5.6245,BRL
2023-02-10,152.1000,ISK
2023-02-11,5.6245,BRL
2023-02-11,7.2837,CNY
2023-02-11,3.7820,ILS
2023-02-11,23.6920,CZK
2023-02-11,8.3916,HKD
2023-02-11,88.2475,INR
2023-02-11,1.9558,BGN
2023-02-11,16233.3300,IDR
2023-02-11,389.7800,HUF
2023-02-11,1.5432,AUD
2023-02-11,7.4445,DKK
2023-02-11,0.9872,CHF
2023-02-11,152.1000,ISK
2023-02-11,1.4364,CAD
2023-02-11,0.8835,GBP
2023-02-12,152.1000,ISK
2023-02-12,0.9872,CHF
2023-02-12,88.2475,INR
2023-02-12,8.3916,HKD
2023-02-12,5.6245,BRL
2023-02-12,7.2837,CNY
2023-02-12,23.6920,CZK
2023-02-12,1.9558,BGN
2023-02-12,0.8835,GBP
2023-02-12,389.7800,HUF
2023-02-12,1.4364,CAD
2023-02-12,16233.3300,IDR
2023-02-12,1.5432,AUD
2023-02-12,3.7820,ILS
2023-02-12,7.4445,DKK
2023-02-13,385.4800,HUF
2023-02-13,153.1000,ISK
2023-02-13,7.2930,CNY
2023-02-13,7.4485,DKK
2023-02-13,8.3885,HKD
2023-02-13,1.4263,CAD
2023-02-13,88.3950,INR
2023-02-13,3.7814,ILS
2023-02-13,0.9849,CHF
2023-02-13,16278.4400,IDR
2023-02-13,1.9558,BGN
2023-02-13,1.5388,AUD
2023-02-13,0.8828,GBP
2023-02-13,23.7390,CZK
2023-02-13,5.5576,BRL
2023-02-14,0.9870,CHF
2023-02-14,89.1227,INR
2023-02-14,16303.5300,IDR
2023-02-14,382.4500,HUF
2023-02-14,0.8812,GBP
2023-02-14,8.4457,HKD
2023-02-14,3.7724,ILS
2023-02-14,153.3000,ISK
2023-02-14,1.9558,BGN
2023-02-14,7.3314,CNY
2023-02-14,1.4332,CAD
2023-02-14,7.4514,DKK
2023-02-14,5.5552,BRL
2023-02-14,1.5411,AUD
2023-02-14,23.7490,CZK
2023-02-15,0.8882,GBP
2023-02-15,7.4515,DKK
2023-02-15,0.9885,CHF
2023-02-15,380.5800,HUF
2023-02-15,7.3229,CNY
2023-02-15,23.6660,CZK
2023-02-15,8.3983,HKD
2023-02-15,16320.5500,IDR
2023-02-15,88.6415,INR
2023-02-15,5.5860,BRL
2023-02-15,153.9000,ISK
2023-02-15,1.9558,BGN
2023-02-15,3.7730,ILS
